chomossome 	 position1 	 position2 	 GenomeBrowser 	 mean 	 standart Devitation
chr10:	81923145	81923472	chr10:81923145-81923472	196	107.5
chr10:	81963864	81962883	chr10:81962883-81963864	164	24.5
chr10:	89577423	89577548	chr10:89577423-89577548	233	203.0
chr10:	92689863	92690795	chr10:92689863-92690795	140	94.0
chr10:	103815328	103815226	chr10:103815226-103815328	172	125.5
chr10:	119805620	119806192	chr10:119805620-119806192	176	113.0
chr11:	2961445	2961945	chr11:2961445-2961945	408	298.5
chr11:	10510555	10511591	chr11:10510555-10511591	204	170.0
chr11:	10512166	10511591	chr11:10511591-10512166	211	163.0
chr11:	18609910	18610192	chr11:18609910-18610192	146	99.0
chr11:	33182839	33182657	chr11:33182657-33182839	238	197.0
chr11:	43380293	43380232	chr11:43380232-43380293	133	93.0
chr11:	47879463	47879447	chr11:47879447-47879463	108	69.5
chr11:	47891642	47891082	chr11:47891082-47891642	74	56.5
chr11:	47959382	47959620	chr11:47959382-47959620	127	90.5
chr11:	62492920	62494699	chr11:62492920-62494699	697	497.0
chr11:	63705426	63706468	chr11:63705426-63706468	253	228.5
chr11:	63753286	63753520	chr11:63753286-63753520	218	165.0
chr11:	64035924	64037295	chr11:64035924-64037295	211	67.0
chr11:	65318325	65318818	chr11:65318325-65318818	444	426.0
chr11:	65381411	65382341	chr11:65381411-65382341	242	210.0
chr11:	65382454	65382341	chr11:65382341-65382454	235	217.0
chr11:	67272440	67273449	chr11:67272440-67273449	187	61.5
chr11:	77348442	77348472	chr11:77348442-77348472	208	177.0
chr11:	118787540	118788392	chr11:118787540-118788392	170	88.5
chr11:	118888846	118888774	chr11:118888774-118888846	174	141.0
chr11:	134122950	134123123	chr11:134122950-134123123	154	123.0
chr12:	9216850	9217015	chr12:9216850-9217015	367	296.0
chr12:	13024970	13024933	chr12:13024933-13024970	119	78.0
chr12:	47302200	47302359	chr12:47302200-47302359	128	93.5
chr12:	51441401	51441567	chr12:51441401-51441567	248	213.0
chr12:	53692945	53692997	chr12:53692945-53692997	276	194.5
chr12:	56321040	56320853	chr12:56320853-56321040	456	412.5
chr12:	56511664	56510019	chr12:56510019-56511664	189	164.5
chr12:	56511664	56511725	chr12:56511664-56511725	142	117.0
chr12:	69080271	69080450	chr12:69080271-69080450	155	123.0
chr12:	69863748	69863910	chr12:69863748-69863910	130	98.0
chr12:	75904836	75905055	chr12:75904836-75905055	193	174.5
chr12:	76371506	76371705	chr12:76371506-76371705	114	84.5
chr12:	107167564	107167758	chr12:107167564-107167758	139	110.0
chr12:	120632146	120632149	chr12:120632146-120632149	210	165.0
chr13:	110132302	110133418	chr13:110132302-110133418	113	59.5
chr13:	114102805	114103326	chr13:114102805-114103326	220	197.0
chr14:	23235800	23235667	chr14:23235667-23235800	119	74.5
chr14:	24701021	24700790	chr14:24700790-24701021	520	488.5
chr14:	31889061	31889287	chr14:31889061-31889287	361	289.5
chr14:	61943217	61943377	chr14:61943217-61943377	187	159.5
chr14:	69086570	69086981	chr14:69086570-69086981	82	65.0
chr14:	75354884	75354867	chr14:75354867-75354884	99	78.0
chr14:	105330467	105330668	chr14:105330467-105330668	233	203.0
chr15:	22525988	22526737	chr15:22525988-22526737	293	229.0
chr15:	40384655	40384579	chr15:40384579-40384655	218	133.5
chr15:	41408540	41408328	chr15:41408328-41408540	185	149.5
chr15:	48622928	48623153	chr15:48622928-48623153	257	200.5
chr15:	59981217	59980787	chr15:59980787-59981217	395	340.5
chr15:	67134219	67135260	chr15:67134219-67135260	150	37.0
chr15:	90436724	90436817	chr15:90436724-90436817	238	207.0
chr16:	679222	679492	chr16:679222-679492	270	235.5
chr16:	1132263	1132194	chr16:1132194-1132263	192	139.0
chr16:	27214640	27214418	chr16:27214418-27214640	222	170.5
chr16:	47006547	47006506	chr16:47006506-47006547	615	500.5
chr16:	71021271	71020895	chr16:71020895-71021271	135	113.5
chr16:	85044746	85044556	chr16:85044556-85044746	320	272.5
chr16:	86421134	86420987	chr16:86420987-86421134	101	73.0
chr17:	2863341	2863555	chr17:2863341-2863555	182	157.5
chr17:	6374575	6373924	chr17:6373924-6374575	133	77.0
chr17:	17744216	17743544	chr17:17743544-17744216	122	102.0
chr17:	18217204	18217899	chr17:18217204-18217899	368	327.0
chr17:	26662118	26662090	chr17:26662090-26662118	246	192.0
chr17:	27481410	27482170	chr17:27481410-27482170	272	168.0
chr17:	36740551	36741422	chr17:36740551-36741422	147	127.0
chr17:	40715370	40713903	chr17:40713903-40715370	144	107.5
chr17:	41560879	41560991	chr17:41560879-41560991	191	161.5
chr17:	42147645	42147802	chr17:42147645-42147802	150	60.0
chr17:	42311996	42312954	chr17:42311996-42312954	91	60.5
chr17:	66379463	66379494	chr17:66379463-66379494	150	125.5
chr17:	71284687	71284730	chr17:71284687-71284730	204	162.5
chr17:	76124559	76123224	chr17:76123224-76124559	126	85.0
chr17:	79106523	79107013	chr17:79106523-79107013	203	130.0
chr17:	79884244	79884165	chr17:79884165-79884244	234	203.0
chr18:	9825456	9827398	chr18:9825456-9827398	138	112.5
chr18:	9827818	9827398	chr18:9827398-9827818	151	100.0
chr19:	2950409	2950047	chr19:2950047-2950409	322	285.0
chr19:	11641085	11639489	chr19:11639489-11641085	252	224.5
chr19:	13228617	13228722	chr19:13228617-13228722	136	107.5
chr19:	15543451	15543372	chr19:15543372-15543451	151	130.0
chr19:	35167871	35167721	chr19:35167721-35167871	262	212.0
chr19:	49410830	49410911	chr19:49410830-49410911	106	87.0
chr19:	50143150	50144944	chr19:50143150-50144944	190	98.5
chr20:	16710075	16710363	chr20:16710075-16710363	144	98.5
chr20:	30160221	30160163	chr20:30160163-30160221	283	226.0
chr20:	33113558	33113825	chr20:33113558-33113825	126	88.5
chr20:	37590255	37590727	chr20:37590255-37590727	178	109.0
chr20:	42838657	42839157	chr20:42838657-42839157	168	108.0
chr20:	47447979	47448214	chr20:47447979-47448214	136	102.5
chr20:	48948343	48949000	chr20:48948343-48949000	164	65.0
chr20:	52739766	52740171	chr20:52739766-52740171	117	80.5
chr21:	46738615	46738702	chr21:46738615-46738702	191	84.5
chr22:	25364031	25362213	chr22:25362213-25364031	112	86.0
chr22:	40393905	40394850	chr22:40393905-40394850	293	267.5
chr22:	43485010	43485189	chr22:43485010-43485189	166	117.0
