chomossome 	 position1 	 position2 	 GenomeBrowser 	 mean 	 standart Devitation
chr3:	152016439	152016245	chr3:152016245-152016439	405	61.5
chr3:	158362100	158362041	chr3:158362041-158362100	161	95.5
chr3:	184523336	184524371	chr3:184523336-184524371	278	101.5
chr3:	187672503	187672843	chr3:187672503-187672843	631	137.5
chr3:	194053731	194053263	chr3:194053263-194053731	396	72.5
chr4:	41936519	41936890	chr4:41936519-41936890	237	22.0
chr4:	57333515	57333436	chr4:57333436-57333515	188	90.0
chr4:	83955864	83955818	chr4:83955818-83955864	282	96.0
chr4:	89744129	89744133	chr4:89744129-89744133	522	268.5
chr4:	190862850	190861394	chr4:190861394-190862850	305	291.0
chr5:	1800059	1801151	chr5:1800059-1801151	243	116.5
chr5:	31913472	31913599	chr5:31913472-31913599	218	5.5
chr5:	33370064	33370253	chr5:33370064-33370253	317	41.5
chr5:	40834871	40834984	chr5:40834871-40834984	486	76.0
chr5:	52897413	52897432	chr5:52897413-52897432	165	7.5
chr5:	64920334	64919981	chr5:64919981-64920334	630	231.0
chr5:	78907816	78907804	chr5:78907804-78907816	290	177.0
chr5:	92918201	92918394	chr5:92918201-92918394	605	101.0
chr5:	121297464	121297324	chr5:121297324-121297464	169	60.0
chr5:	133702822	133702618	chr5:133702618-133702822	188	88.5
chr5:	134471436	134469562	chr5:134469562-134471436	271	43.0
chr5:	137514239	137514161	chr5:137514161-137514239	450	28.5
chr5:	137515843	137514161	chr5:137514161-137515843	369	109.5
chr5:	140027268	140026760	chr5:140026760-140027268	396	223.0
chr5:	141211822	141211721	chr5:141211721-141211822	140	47.0
chr5:	141212599	141211721	chr5:141211721-141212599	186	0.5
chr5:	146111375	146111561	chr5:146111375-146111561	209	55.5
chr5:	157158211	157158210	chr5:157158210-157158211	172	15.5
chr5:	168027401	168027395	chr5:168027395-168027401	184	4.0
chr5:	169398020	169398804	chr5:169398020-169398804	138	53.5
chr5:	173960651	173962558	chr5:173960651-173962558	245	85.0
chr5:	173962604	173962558	chr5:173962558-173962604	193	33.0
chr5:	176250250	176250113	chr5:176250113-176250250	156	133.5
chr6:	10403161	10404656	chr6:10403161-10404656	530	301.0
chr6:	16683750	16683956	chr6:16683750-16683956	303	119.5
chr6:	26537420	26538235	chr6:26537420-26538235	563	229.0
chr6:	32097621	32097826	chr6:32097621-32097826	488	99.5
chr6:	33239548	33239317	chr6:33239317-33239548	345	122.0
chr6:	35778864	35778677	chr6:35778677-35778864	263	0.0
chr6:	44020208	44021434	chr6:44020208-44021434	462	206.0
chr6:	44021906	44021434	chr6:44021434-44021906	479	189.0
chr6:	44022717	44021434	chr6:44021434-44022717	427	240.5
chr6:	52379186	52379260	chr6:52379186-52379260	274	38.5
chr6:	75953160	75953070	chr6:75953070-75953160	424	47.0
chr6:	84568896	84569095	chr6:84568896-84569095	289	8.5
chr6:	99873056	99872718	chr6:99872718-99873056	624	111.5
chr6:	106056821	106057360	chr6:106056821-106057360	185	1.5
chr6:	111805117	111804460	chr6:111804460-111805117	304	74.0
chr6:	158136667	158138023	chr6:158136667-158138023	318	127.5
chr7:	23338564	23338366	chr7:23338366-23338564	304	140.0
chr7:	32529908	32529805	chr7:32529805-32529908	233	44.0
chr7:	36087699	36088500	chr7:36087699-36088500	187	8.5
chr7:	44677602	44679354	chr7:44677602-44679354	238	26.5
chr7:	44678760	44679354	chr7:44678760-44679354	487	222.5
chr7:	73027077	73027134	chr7:73027077-73027134	205	22.5
chr7:	76751607	76751341	chr7:76751341-76751607	260	133.5
chr7:	100101036	100102567	chr7:100101036-100102567	163	4.0
chr7:	100760712	100760764	chr7:100760712-100760764	209	38.0
chr7:	100761664	100760764	chr7:100760764-100761664	200	46.5
chr7:	102985166	102984462	chr7:102984462-102985166	470	321.5
chr7:	107886607	107886673	chr7:107886607-107886673	266	38.0
chr7:	123197402	123197314	chr7:123197314-123197402	628	21.0
chr7:	129709997	129709839	chr7:129709839-129709997	276	76.0
chr7:	134050068	134049402	chr7:134049402-134050068	347	177.5
chr7:	135661974	135661437	chr7:135661437-135661974	519	158.5
chr7:	137684998	137684921	chr7:137684921-137684998	287	38.0
chr7:	139024922	139024761	chr7:139024761-139024922	347	140.5
chr7:	141437861	141437890	chr7:141437861-141437890	264	29.5
chr7:	144533082	144532798	chr7:144532798-144533082	297	26.0
chr8:	19041548	19041201	chr8:19041201-19041548	242	53.0
chr8:	19674679	19674330	chr8:19674330-19674679	315	153.5
chr8:	23396475	23396380	chr8:23396380-23396475	305	93.0
chr8:	42398181	42398229	chr8:42398181-42398229	276	89.0
chr8:	57906475	57905556	chr8:57905556-57906475	520	361.0
chr8:	74884508	74883896	chr8:74883896-74884508	364	211.5
chr8:	96036891	96036678	chr8:96036678-96036891	354	187.0
chr8:	101494455	101494395	chr8:101494395-101494455	182	30.5
chr8:	117778095	117778483	chr8:117778095-117778483	316	66.0
chr8:	125641891	125643189	chr8:125641891-125643189	273	52.5
chr8:	128519481	128519571	chr8:128519481-128519571	247	91.0
chr8:	128753807	128753858	chr8:128753807-128753858	390	200.5
chr8:	130951989	130951783	chr8:130951783-130951989	194	83.5
chr8:	142245316	142244874	chr8:142244874-142245316	536	45.5
chr9:	16704909	16705210	chr9:16704909-16705210	337	109.5
chr9:	18238083	18238263	chr9:18238083-18238263	301	131.5
chr9:	20512167	20511698	chr9:20511698-20512167	119	78.0
chr9:	33165259	33165521	chr9:33165259-33165521	314	44.5
chr9:	33185065	33186437	chr9:33185065-33186437	154	18.0
chr9:	100394977	100395580	chr9:100394977-100395580	247	53.5
chr9:	110473790	110473737	chr9:110473737-110473790	258	114.5
chr9:	113019089	113018914	chr9:113018914-113019089	257	95.0
chr9:	123492819	123492959	chr9:123492819-123492959	172	5.5
chr9:	127177594	127176975	chr9:127176975-127177594	525	234.0
chr9:	129747162	129748714	chr9:129747162-129748714	368	24.5
chr9:	129747992	129748714	chr9:129747992-129748714	320	24.0
chr9:	132250873	132251059	chr9:132250873-132251059	424	169.5
chr9:	137348193	137346216	chr9:137346216-137348193	336	143.5
chr9:	137443543	137443341	chr9:137443341-137443543	320	48.0
chr9:	139776996	139776953	chr9:139776953-139776996	234	99.5
chrX:	7433053	7433242	chrX:7433053-7433242	217	105.5
chrX:	8836281	8836070	chrX:8836070-8836281	311	67.0
chrX:	13687200	13687459	chrX:13687200-13687459	241	70.5
chrX:	40869100	40869259	chrX:40869100-40869259	360	78.5
chrX:	48815416	48815064	chrX:48815064-48815416	394	226.5
chrX:	53711070	53710076	chrX:53710076-53711070	271	14.0
chrX:	64754621	64754246	chrX:64754246-64754621	380	152.5
chr10:	43950774	43950719	chr10:43950719-43950774	280	42.0
chr10:	53459177	53459094	chr10:53459094-53459177	449	109.0
chr10:	79671326	79669485	chr10:79669485-79671326	194	24.0
chr10:	81923417	81923472	chr10:81923417-81923472	317	13.0
chr10:	81963190	81962883	chr10:81962883-81963190	270	81.0
chr10:	92690082	92690795	chr10:92690082-92690795	186	47.5
chr10:	93376784	93376983	chr10:93376784-93376983	180	72.5
chr10:	112155443	112155560	chr10:112155443-112155560	272	33.5
chr10:	114846972	114847198	chr10:114846972-114847198	249	58.0
chr11:	8008497	8008488	chr11:8008488-8008497	204	9.0
chr11:	10509726	10511591	chr11:10509726-10511591	300	73.5
chr11:	10510662	10511591	chr11:10510662-10511591	378	4.0
chr11:	10512007	10511591	chr11:10511591-10512007	329	45.0
chr11:	12267128	12267009	chr11:12267009-12267128	197	15.0
chr11:	14279716	14279749	chr11:14279716-14279749	202	13.0
chr11:	33182953	33182657	chr11:33182657-33182953	350	84.5
chr11:	34330754	34330747	chr11:34330747-34330754	252	10.0
chr11:	34666342	34666221	chr11:34666221-34666342	349	153.0
chr11:	46615526	46615398	chr11:46615398-46615526	238	0.5
chr11:	47877723	47879447	chr11:47877723-47879447	197	19.5
chr11:	47879213	47879447	chr11:47879213-47879447	385	207.5
chr11:	47959430	47959620	chr11:47959430-47959620	254	36.5
chr11:	62494944	62494699	chr11:62494699-62494944	777	417.0
chr11:	64037379	64037295	chr11:64037295-64037379	279	1.5
chr11:	64863439	64863370	chr11:64863370-64863439	222	52.0
chr11:	65273733	65274218	chr11:65273733-65274218	915	23.5
chr11:	65382590	65382341	chr11:65382341-65382590	325	126.5
chr11:	67121943	67121937	chr11:67121937-67121943	237	23.5
chr11:	69020426	69020398	chr11:69020398-69020426	208	30.0
chr11:	71658630	71658624	chr11:71658624-71658630	169	3.5
chr11:	77705436	77705616	chr11:77705436-77705616	606	162.5
chr11:	82781298	82782732	chr11:82781298-82782732	309	69.0
chr11:	86012930	86012984	chr11:86012930-86012984	262	37.5
chr11:	94706604	94706344	chr11:94706344-94706604	272	155.5
chr11:	129994056	129993956	chr11:129993956-129994056	222	41.0
chr12:	7079795	7079116	chr12:7079116-7079795	206	12.0
chr12:	13023303	13024933	chr12:13023303-13024933	225	28.5
chr12:	13024982	13024933	chr12:13024933-13024982	242	45.0
chr12:	13129323	13129372	chr12:13129323-13129372	206	14.0
chr12:	53845310	53845484	chr12:53845310-53845484	342	44.0
chr12:	56321646	56320853	chr12:56320853-56321646	471	398.0
chr12:	56753685	56753631	chr12:56753631-56753685	552	34.0
chr12:	69079894	69080450	chr12:69079894-69080450	447	169.0
chr12:	76371565	76371705	chr12:76371565-76371705	240	41.5
chr12:	82752069	82751996	chr12:82751996-82752069	208	39.5
chr12:	93637903	93637811	chr12:93637811-93637903	204	10.0
chr12:	94070872	94070838	chr12:94070838-94070872	199	20.5
chr12:	104323431	104323238	chr12:104323238-104323431	493	104.5
chr12:	110486280	110486200	chr12:110486200-110486280	235	37.0
chr12:	122326132	122326212	chr12:122326132-122326212	306	20.5
chr12:	123868180	123868053	chr12:123868053-123868180	169	65.0
chr12:	123869581	123868053	chr12:123868053-123869581	194	39.5
chr13:	33112945	33112748	chr13:33112748-33112945	195	43.5
chr13:	73355911	73355641	chr13:73355641-73355911	275	135.0
chr13:	110132253	110133418	chr13:110132253-110133418	230	57.5
chr13:	114103441	114103326	chr13:114103326-114103441	307	110.0
chr14:	45430955	45430902	chr14:45430902-45430955	367	55.5
chr14:	61943168	61943377	chr14:61943168-61943377	434	87.0
chr14:	61944828	61943377	chr14:61943377-61944828	305	42.0
chr14:	69043222	69043275	chr14:69043222-69043275	188	0.0
chr14:	69044515	69043275	chr14:69043275-69044515	216	28.0
chr14:	70826211	70826149	chr14:70826149-70826211	294	31.5
chr14:	75354810	75354867	chr14:75354810-75354867	222	45.5
chr15:	22526478	22526737	chr15:22526478-22526737	396	125.5
chr15:	40384626	40384579	chr15:40384579-40384626	239	112.5
chr15:	41408681	41408328	chr15:41408328-41408681	282	53.0
chr15:	48104587	48104862	chr15:48104587-48104862	252	12.5
chr15:	48106744	48104862	chr15:48104862-48106744	262	2.5
chr15:	48622341	48623153	chr15:48622341-48623153	347	110.5
chr15:	66161199	66161360	chr15:66161199-66161360	299	101.0
chr15:	82554222	82554305	chr15:82554222-82554305	447	343.5
chr15:	93446601	93447304	chr15:93446601-93447304	683	477.0
chr15:	99433160	99433314	chr15:99433160-99433314	244	49.0
chr16:	677668	679492	chr16:677668-679492	285	221.0
chr16:	16090485	16090440	chr16:16090440-16090485	221	22.5
chr16:	30546364	30545838	chr16:30545838-30546364	249	174.5
chr16:	31085126	31085093	chr16:31085093-31085126	514	43.5
chr16:	31149910	31149839	chr16:31149839-31149910	169	65.0
chr16:	86421060	86420987	chr16:86420987-86421060	161	12.5
chr16:	89571682	89571755	chr16:89571682-89571755	310	7.5
chr16:	89785735	89785789	chr16:89785735-89785789	240	0.5
chr17:	970549	970775	chr17:970549-970775	235	1.0
chr17:	1620262	1620320	chr17:1620262-1620320	632	19.5
chr17:	2863425	2863555	chr17:2863425-2863555	242	97.5
chr17:	6374914	6373924	chr17:6373924-6374914	202	7.5
chr17:	7739927	7739957	chr17:7739927-7739957	198	0.5
chr17:	9580179	9580135	chr17:9580135-9580179	174	19.5
chr17:	17741724	17743544	chr17:17741724-17743544	170	53.5
chr17:	19630719	19630305	chr17:19630305-19630719	155	22.5
chr17:	19631485	19630305	chr17:19630305-19631485	151	26.5
chr17:	26662429	26662090	chr17:26662090-26662429	331	106.5
chr17:	26663195	26662090	chr17:26662090-26663195	361	77.0
chr17:	40714013	40713903	chr17:40713903-40714013	199	53.0
chr17:	41149870	41150121	chr17:41149870-41150121	370	76.0
chr17:	41437847	41438086	chr17:41437847-41438086	584	116.5
chr17:	41560823	41560991	chr17:41560823-41560991	389	36.0
chr17:	41868990	41868925	chr17:41868925-41868990	194	11.5
chr17:	42092229	42092089	chr17:42092089-42092229	242	51.0
chr17:	42281754	42281769	chr17:42281754-42281769	230	3.0
chr17:	42313002	42312954	chr17:42312954-42313002	141	11.0
chr17:	49230159	49230633	chr17:49230159-49230633	429	209.5
chr17:	55927333	55927203	chr17:55927203-55927333	250	72.5
chr17:	57287226	57287183	chr17:57287183-57287226	154	31.5
chr17:	61851005	61850918	chr17:61850918-61851005	304	29.0
chr17:	66379508	66379494	chr17:66379494-66379508	199	76.5
chr17:	71284801	71284730	chr17:71284730-71284801	358	8.5
chr17:	71336205	71336275	chr17:71336205-71336275	181	16.0
chr17:	75315384	75315451	chr17:75315384-75315451	168	49.5
chr18:	2981199	2981072	chr18:2981072-2981199	201	22.0
chr18:	9825401	9827398	chr18:9825401-9827398	250	1.0
chr18:	9827500	9827398	chr18:9827398-9827500	604	353.0
chr18:	32509188	32508291	chr18:32508291-32509188	240	58.0
chr18:	32509188	32509255	chr18:32509188-32509255	190	8.0
chr18:	61326040	61326266	chr18:61326040-61326266	244	37.0
chr18:	68088693	68089893	chr18:68088693-68089893	751	580.0
chr18:	72921971	72922546	chr18:72921971-72922546	442	230.0
chr19:	1172777	1173579	chr19:1172777-1173579	158	61.5
chr19:	6736427	6737163	chr19:6736427-6737163	587	442.5
chr19:	7515037	7515037	chr19:7515037-7515037	416	238.5
chr19:	10919768	10919519	chr19:10919519-10919768	268	52.0
chr19:	14191942	14191711	chr19:14191711-14191942	366	100.0
chr19:	16426889	16427439	chr19:16426889-16427439	230	26.5
chr19:	19887095	19887066	chr19:19887066-19887095	315	39.0
chr19:	35167886	35167721	chr19:35167721-35167886	415	58.5
chr19:	42746922	42746752	chr19:42746752-42746922	408	120.5
chr19:	42746922	42748271	chr19:42746922-42748271	507	21.5
chr19:	49403101	49403098	chr19:49403098-49403101	235	30.0
chr19:	58988181	58986896	chr19:58986896-58988181	307	185.5
chr20:	30160373	30160163	chr20:30160163-30160373	434	74.5
chr20:	30945300	30945726	chr20:30945300-30945726	371	83.5
chr20:	33113590	33113825	chr20:33113590-33113825	311	96.5
chr20:	33463591	33463582	chr20:33463582-33463591	244	42.0
chr20:	48950417	48949000	chr20:48949000-48950417	210	19.0
chr20:	52739951	52740171	chr20:52739951-52740171	238	40.5
chr21:	46738797	46738702	chr21:46738702-46738797	182	93.5
chr22:	19466789	19466621	chr22:19466621-19466789	288	193.0
chr22:	24372372	24372715	chr22:24372372-24372715	356	182.5
chr22:	26143134	26143102	chr22:26143102-26143134	385	165.0
chr22:	40395364	40394850	chr22:40394850-40395364	392	168.5
chr22:	44350032	44350795	chr22:44350032-44350795	263	182.5
