chromossome 	 position1 	 position2 	 position3 	 GenomeBrowser 	 mean 	 standart Devitation
chr7:	76751246	76751607	76751341	chr7:76751246-76751607	185	152.58
chr7:	100761560	100760712	100760764	chr7:100760712-100761560	148	90.79
chr7:	100761560	100761664	100760764	chr7:100760764-100761664	143	89.74
chr7:	144532293	144533082	144532798	chr7:144532293-144533082	228	98.94
chr8:	23398140	23396475	23396380	chr8:23396380-23398140	237	122.53
chr8:	23398140	23398463	23396380	chr8:23396380-23398463	319	156.68
chr8:	101494334	101494455	101494395	chr8:101494334-101494455	131	76.08
chr8:	125641779	125641891	125643189	chr8:125641779-125643189	190	125.18
chr8:	128755195	128753807	128753858	chr8:128753807-128755195	267	239.38
chr9:	16704690	16704909	16705210	chr9:16704690-16705210	244	159.23
chr9:	33165463	33165259	33165521	chr9:33165259-33165521	220	137.58
chr9:	33166407	33165259	33165521	chr9:33165259-33166407	237	115.02
chr9:	113017341	113019089	113018914	chr9:113017341-113019089	189	122.82
chr9:	123492906	123492819	123492959	chr9:123492819-123492959	123	69.68
chr9:	127177128	127177594	127176975	chr9:127176975-127177594	365	295.79
chr9:	137443586	137443543	137443341	chr9:137443341-137443586	226	138.14
chr9:	139776071	139776996	139776953	chr9:139776071-139776996	192	101.06
chrX:	13685774	13687200	13687459	chrX:13685774-13687459	172	113.09
chrX:	40868930	40869100	40869259	chrX:40868930-40869259	250	168.03
chr10:	81923268	81923417	81923472	chr10:81923268-81923472	237	113.16
chr10:	81963342	81963190	81962883	chr10:81962883-81963342	243	75.9
chr10:	92689827	92690082	92690795	chr10:92689827-92690795	140	76.35
chr10:	112155441	112155443	112155560	chr10:112155441-112155560	189	120.75
chr11:	10510520	10509726	10511591	chr11:10509726-10511591	213	136.68
chr11:	10510520	10510662	10511591	chr11:10510520-10511591	265	159.37
chr11:	10510520	10512007	10511591	chr11:10510520-10512007	232	141.1
chr11:	10511727	10510662	10511591	chr11:10510662-10511727	282	135.33
chr11:	10511727	10512007	10511591	chr11:10511591-10512007	249	118.06
chr11:	33182834	33182953	33182657	chr11:33182657-33182953	247	161.82
chr11:	47879479	47877723	47879447	chr11:47877723-47879479	142	79.16
chr11:	47879479	47879213	47879447	chr11:47879213-47879479	268	237.31
chr11:	47959213	47959430	47959620	chr11:47959213-47959620	187	100.0
chr11:	64035921	64037379	64037295	chr11:64035921-64037379	235	62.0
chr11:	65381350	65382590	65382341	chr11:65381350-65382590	231	168.16
chr11:	65382425	65382590	65382341	chr11:65382341-65382590	223	177.61
chr11:	118790026	118790448	118788392	chr11:118788392-118790448	172	78.53
chr12:	13023372	13023303	13024933	chr12:13023303-13024933	156	100.09
chr12:	13023372	13024982	13024933	chr12:13023372-13024982	167	111.36
chr12:	13024608	13023303	13024933	chr12:13023303-13024933	176	73.32
chr12:	13024608	13024982	13024933	chr12:13024608-13024982	187	85.6
chr12:	56320629	56321646	56320853	chr12:56320629-56321646	344	371.3
chr12:	69080316	69079894	69080450	chr12:69079894-69080450	307	241.33
chr12:	76371348	76371565	76371705	chr12:76371348-76371705	175	98.19
chr12:	110486030	110486280	110486200	chr12:110486030-110486280	168	98.55
chr13:	110132063	110132253	110133418	chr13:110132063-110133418	179	86.65
chr13:	114102783	114103441	114103326	chr13:114102783-114103441	213	159.65
chr14:	61942992	61943168	61943377	chr14:61942992-61943377	307	192.27
chr14:	61942992	61944828	61943377	chr14:61942992-61944828	221	122.74
chr14:	69042821	69043222	69043275	chr14:69042821-69043275	146	58.93
chr14:	69042821	69044515	69043275	chr14:69042821-69044515	165	75.66
chr14:	75354919	75354810	75354867	chr14:75354810-75354919	154	102.87
chr15:	22525960	22526478	22526737	chr15:22525960-22526737	286	186.08
chr15:	40384577	40384626	40384579	chr15:40384577-40384626	192	113.52
chr15:	41408477	41408681	41408328	chr15:41408328-41408681	201	121.57
chr15:	48104721	48104587	48104862	chr15:48104587-48104862	174	110.55
chr15:	48622957	48622341	48623153	chr15:48622341-48623153	250	164.78
chr16:	679295	677668	679492	chr16:677668-679492	201	215.52
chr16:	86421156	86421060	86420987	chr16:86420987-86421156	114	67.95
chr17:	2863348	2863425	2863555	chr17:2863348-2863555	170	129.81
chr17:	6374611	6374914	6373924	chr17:6373924-6374914	152	70.74
chr17:	17742810	17741724	17743544	chr17:17741724-17743544	166	44.08
chr17:	26662142	26662429	26662090	chr17:26662090-26662429	238	158.26
chr17:	26662142	26663195	26662090	chr17:26662090-26663195	257	159.09
chr17:	40715407	40714013	40713903	chr17:40713903-40715407	142	90.66
chr17:	41560808	41560823	41560991	chr17:41560808-41560991	271	169.45
chr17:	42312105	42313002	42312954	chr17:42312105-42313002	101	57.28
chr17:	66379437	66379508	66379494	chr17:66379437-66379508	143	101.42
chr17:	71284667	71284801	71284730	chr17:71284667-71284801	253	149.36
chr18:	2980435	2981199	2981072	chr18:2980435-2981199	140	87.66
chr18:	9825456	9825401	9827398	chr18:9825401-9827398	175	105.13
chr18:	9827833	9827500	9827398	chr18:9827398-9827833	418	389.58
chr19:	11641090	11642792	11639489	chr19:11639489-11642792	240	183.77
chr19:	14191898	14191942	14191711	chr19:14191711-14191942	259	171.11
chr19:	35167878	35167886	35167721	chr19:35167721-35167886	293	179.71
chr19:	42746582	42746922	42746752	chr19:42746582-42746922	285	200.05
chr19:	42746582	42746922	42748271	chr19:42746582-42748271	351	221.55
chr20:	30160219	30160373	30160163	chr20:30160163-30160373	313	181.39
chr20:	30945189	30945300	30945726	chr20:30945189-30945726	254	179.61
chr20:	33113524	33113590	33113825	chr20:33113524-33113825	221	150.3
chr20:	52739708	52739951	52740171	chr20:52739708-52740171	173	97.47
chr21:	46738568	46738797	46738702	chr21:46738568-46738797	158	83.84
chr22:	40393903	40395364	40394850	chr22:40393903-40395364	270	221.23

