chromossome 	 position1 	 position2 	 position3 	 GenomeBrowser 	 mean 	 standart Devitation 	 genes in window
chr9:	123492926	123492819	123492959	chr9:123492819-123492959	124	67.8	MIR4304,HYAL4,GRAMD1B,SCN3B,ATE1
chr5:	134469591	134471436	134469562	chr5:134469562-134471436	196	111.73	CALD1,ST3GAL1,ZNF449
chr5:	137515912	137514239	137514161	chr5:137514161-137515912	306	204.74	CDC23,BRD8,KIF20A,IFNGR1
chr5:	137515912	137515843	137514161	chr5:137514161-137515912	252	187.87	CDC23,BRD8,KIF20A,IFNGR1
chr5:	141212507	141211822	141211721	chr5:141211721-141212507	102	66.04	LOC100129858,RASA2
chr5:	141212507	141212599	141211721	chr5:141211721-141212599	133	75.66	LOC100129858,RASA2
chr2:	1597302	1597614	1599048	chr2:1597302-1599048	196	145.77	TRIM39,ADARB2-AS1,PSMG3,PRPF8,SIRPB1,DUSP8,KRTAP5-1,RPP21,TRIM31,TMEM184A,P2RY8,LOC728613,TLCD2,HCG17,TRIM39-RPP21,SDHAP3,KRTAP5-AS1,TMEM204,MBD3,SLC35E2B,UQCR11,ERC1,HCG18
chr2:	9842832	9843225	9843569	chr2:9842832-9843569	400	291.67	TTLL3,GRIN2A,SBF2-AS1,CLEC2D,ARPC4,ARPC4-TTLL3,TADA3
chr19:	11641085	11642792	11639489	chr19:11639489-11642792	240	184.15	NEIL2,GALNT18,CNN1,LITAF,ECSIT
chr5:	168026744	168027401	168027395	chr5:168026744-168027401	152	44.43	
chr2:	26957976	26957982	26958816	chr2:26957976-26958816	164	122.59	DAZ3,IFT74,MIR548J,TPST2,KCNK3,MRPL39,LINC00515,GABRB3,DAZ4
chr2:	26957976	26959082	26958816	chr2:26957976-26959082	176	121.67	DAZ3,IFT74,MIR548J,TPST2,KCNK3,MRPL39,LINC00515,GABRB3,DAZ4
chr13:	110132302	110132253	110133418	chr13:110132253-110133418	171	95.53	TRHR,MIR197,GNAI3
chr2:	32581568	32580974	32581685	chr2:32580974-32581685	238	233.03	CCL2,NDUFB6,SUB1,RALY,BIRC6,RFPL2,KPNA6,NRG1
chr13:	114102805	114103441	114103326	chr13:114102805-114103441	212	161.21	ZBTB20-AS1,ZBTB20,DCUN1D2,ADPRHL1
chr9:	139776055	139776996	139776953	chr9:139776055-139776996	190	102.77	ANKHD1-EIF4EBP3,TRAF2,ANKHD1,JHDM1D,MIR4479
chr19:	35167871	35167886	35167721	chr19:35167721-35167886	293	178.8	UNC13B,CD44,MYL9,ZNF302
chr5:	176249110	176250250	176250113	chr5:176249110-176250250	112	125.4	
chrX:	13685880	13687200	13687459	chrX:13685880-13687459	171	114.31	LINC00620,DNAH5,PRAMEF18,FRMD4A,PRAMEF19,ESF1,TCEANC,FBLN2,FAR1
chr14:	61943217	61943168	61943377	chr14:61943168-61943377	298	204.15	CSH2,TCAM1P
chr14:	61943217	61944828	61943377	chr14:61943217-61944828	212	135.01	CSH2,TCAM1P
chr6:	10403485	10403161	10404656	chr6:10403161-10404656	368	335.35	TFAP2A,MKKS,ICAM5,ICAM4,ICAM1,MYH1,LOC100130275,PRSS55,MID1
chr6:	16683873	16683750	16683956	chr6:16683750-16683956	210	163.95	USP32P1,SZRD1,CCDC144A,FBXO42,MED26,ANKMY2,FAM106CP,SLC35E1,BZW2
chrX:	40869029	40869100	40869259	chrX:40869029-40869259	247	171.96	SMAP2,RPUSD2,APBB2
chr6:	26537510	26537420	26538235	chr6:26537420-26538235	411	284.9	CATSPER4,GPR113,LOC441204,HMGN4,HCG11
chr14:	75354884	75354810	75354867	chr14:75354810-75354884	155	101.99	DLST
chr20:	30160221	30160373	30160163	chr20:30160163-30160373	308	188.06	UQCR10,HM13,PLEKHF1,TRIM26,HM13-AS1,PLEKHA8,SLC7A1,ZMAT5
chr20:	33113558	33113590	33113825	chr20:33113558-33113825	220	151.1	CSTF3,DYNLRB1,SCAF4,RBBP4,ZBTB8OS,B4GALT1,N4BP2L2,LINC00486
chr6:	44021846	44020208	44021434	chr6:44020208-44021846	343	237.93	DYNC2LI1,ETHE1,CATSPER2P1
chr6:	44021846	44021906	44021434	chr6:44021434-44021906	354	234.3	DYNC2LI1,ETHE1,CATSPER2P1
chr6:	44021846	44022717	44021434	chr6:44021434-44022717	320	248.34	DYNC2LI1,ETHE1,CATSPER2P1
chr6:	52379278	52379186	52379260	chr6:52379186-52379278	193	119.47	DHRS12,XAGE2,XAGE2B,LINC00282,SGMS1,ZNF577,RAB3B
chr2:	136971857	136971712	136971407	chr2:136971407-136971857	195	140.45	
chr2:	136971857	136973642	136971407	chr2:136971407-136973642	137	81.37	MIR874
chr2:	151232977	151233147	151233154	chr2:151232977-151233154	142	78.41	PSMD4
chr15:	22525988	22526478	22526737	chr15:22525988-22526737	285	187.27	NPIPB5,GPR125,BIN3
chr15:	40384655	40384626	40384579	chr15:40384579-40384655	188	117.23	BMF,FAM83F,ZMAT4
chr15:	41408540	41408681	41408328	chr15:41408328-41408681	200	123.78	CYP2G1P,GINS4,INO80
chr20:	52739766	52739951	52740171	chr20:52739766-52740171	171	100.58	PCMTD1,SSX2B,SSX2,SPCS1,NEK4,PTGDR,NEK3,MRPS31P5,GLT8D1
chr15:	48622928	48622341	48623153	chr15:48622341-48623153	250	163.99	SPATA20,COL7A1,GLOD5,DUT,MIR711,EPN3,PLA2G4C,NUDT15,LIG1
chr10:	81923145	81923417	81923472	chr10:81923145-81923472	241	108.0	ANXA11
chr10:	81963864	81963190	81962883	chr10:81962883-81963864	226	90.16	SEL1L,LINC00857,ANXA11
chr10:	92689863	92690082	92690795	chr10:92689863-92690795	139	76.75	C1orf146,ANKRD1
chr21:	46738615	46738797	46738702	chr21:46738615-46738797	157	84.23	BMS1P5,RAD54L,COX7B2,ORC6,TRMU,F2,LRRC41,TMIE,RP2,IGFL1,BMS1P1,ATP6V1E2,MYLK3,ALS2CL,KGFLP1,CXorf31
chr7:	36087699	36087699	36088500	chr7:36087699-36088500	133	76.45	CLIC6,MAPK14,MAPK13,LINC00160,PSMB2
chr7:	44678593	44677602	44679354	chr7:44677602-44679354	192	68.78	SLC12A5,GUF1,HDHD2,NSF,ZNF226,NSFP1,DMAP1,ERI3,IER3IP1,ZNF197
chr22:	40393905	40395364	40394850	chr22:40393905-40395364	270	220.86	BMF,FAM83F,ZMAT4
chr7:	44678593	44678760	44679354	chr7:44678593-44679354	358	257.63	SLC12A5,GUF1,HDHD2,ZNF226,DMAP1,ERI3,IER3IP1,ZNF197
chr16:	679222	677668	679492	chr16:677668-679492	201	215.52	RAB40C,PRSS57,NINJ2,MIR5699,ENOSF1,ERICH1,OR12D3,MYL5,TMEM18,GLOD4,ERICH1-AS1,B4GALNT3,MFSD7,C16orf13,WFIKKN1,TYMS,OR12D2,FSTL3,RNMTL1,ATP5I
chr11:	10510555	10509726	10511591	chr11:10509726-10511591	211	139.23	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10510555	10510662	10511591	chr11:10510555-10511591	263	162.2	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10510555	10512007	10511591	chr11:10510555-10512007	230	143.84	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10512166	10510662	10511591	chr11:10510662-10512166	268	155.6	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10512166	10512007	10511591	chr11:10511591-10512166	235	137.47	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1

