chomossome 	 position1 	 position2 	 position3 	 GenomeBrowser 	 mean 	 standart Devitation 	 genes in window
chr2:	1597302	1597614	1599048	chr2:1597302-1599048	302	97.92	TRIM39,ADARB2-AS1,PSMG3,PRPF8,SIRPB1,DUSP8,KRTAP5-1,RPP21,TRIM31,TMEM184A,P2RY8,LOC728613,TLCD2,HCG17,TRIM39-RPP21,SDHAP3,KRTAP5-AS1,TMEM204,MBD3,SLC35E2B,UQCR11,ERC1,HCG18,TRIM39,ADARB2-AS1,PSMG3,PRPF8,SIRPB1,DUSP8,KRTAP5-1,RPP21,TRIM31,TMEM184A,P2RY8,LOC728613,TLCD2,HCG17,TRIM39-RPP21,SDHAP3,KRTAP5-AS1,TMEM204,MBD3,SLC35E2B,UQCR11,ERC1,HCG18
chr2:	9842832	9843225	9843569	chr2:9842832-9843569	556	157.16	TTLL3,GRIN2A,SBF2-AS1,CLEC2D,ARPC4,ARPC4-TTLL3,TADA3,TTLL3,GRIN2A,SBF2-AS1,CLEC2D,ARPC4,ARPC4-TTLL3,TADA3
chr2:	26957976	26957982	26958816	chr2:26957976-26958816	245	75.66	DAZ3,IFT74,MIR548J,TPST2,KCNK3,MRPL39,LINC00515,GABRB3,DAZ4,DAZ3,IFT74,MIR548J,TPST2,KCNK3,MRPL39,LINC00515,GABRB3,DAZ4
chr2:	26957976	26959082	26958816	chr2:26957976-26959082	257	59.7	DAZ3,IFT74,MIR548J,TPST2,KCNK3,MRPL39,LINC00515,GABRB3,DAZ4,DAZ3,IFT74,MIR548J,TPST2,KCNK3,MRPL39,LINC00515,GABRB3,DAZ4
chr2:	32581568	32580974	32581685	chr2:32580974-32581685	319	182.09	CCL2,NDUFB6,SUB1,RALY,BIRC6,RFPL2,KPNA6,NRG1,CCL2,NDUFB6,SUB1,RALY,BIRC6,RFPL2,KPNA6,NRG1
chr2:	136971857	136971712	136971407	chr2:136971407-136971857	264	73.16	
chr2:	136971857	136973642	136971407	chr2:136971407-136973642	205	16.05	MIR874,MIR874
chr2:	151232977	151233147	151233154	chr2:151232977-151233154	243	66.81	PSMD4,PSMD4
chr3:	187672704	187672503	187672843	chr3:187672503-187672843	466	258.74	
chr3:	194053707	194053731	194053263	chr3:194053263-194053731	387	60.6	CPN2,CPN2
chr5:	1800553	1800059	1801151	chr5:1800059-1801151	412	256.58	TRIM39,HCG17,FGFR3,ADIPOR2,TRIM39-RPP21,HCG18,HLA-E,RPA1,GNL1,MYT1L,MRPL36,NDUFS6,TRIM39,HCG17,FGFR3,ADIPOR2,TRIM39-RPP21,HCG18,HLA-E,RPA1,GNL1,MYT1L,MRPL36,NDUFS6
chr5:	78907840	78907816	78907804	chr5:78907804-78907840	249	155.37	CHRNA3,PAPD4,CHRNB4,CHRNA3,PAPD4,CHRNB4
chr5:	134469591	134471436	134469562	chr5:134469562-134471436	335	97.52	CALD1,ST3GAL1,ZNF449,CALD1,ST3GAL1,ZNF449
chr5:	137515912	137514239	137514161	chr5:137514161-137515912	364	124.52	CDC23,BRD8,KIF20A,IFNGR1,CDC23,BRD8,KIF20A,IFNGR1
chr5:	137515912	137515843	137514161	chr5:137514161-137515912	310	122.78	CDC23,BRD8,KIF20A,IFNGR1,CDC23,BRD8,KIF20A,IFNGR1
chr5:	141212507	141211822	141211721	chr5:141211721-141212507	183	71.91	LOC100129858,RASA2,LOC100129858,RASA2
chr5:	141212507	141212599	141211721	chr5:141211721-141212599	214	38.89	LOC100129858,RASA2,LOC100129858,RASA2
chr5:	168026744	168027401	168027395	chr5:168026744-168027401	424	339.43	
chr5:	176249110	176250250	176250113	chr5:176249110-176250250	190	119.04	
chr6:	10403485	10403161	10404656	chr6:10403161-10404656	508	247.67	TFAP2A,MKKS,ICAM5,ICAM4,ICAM1,MYH1,LOC100130275,PRSS55,MID1,TFAP2A,MKKS,ICAM5,ICAM4,ICAM1,MYH1,LOC100130275,PRSS55,MID1
chr6:	16683873	16683750	16683956	chr6:16683750-16683956	285	100.9	USP32P1,SZRD1,CCDC144A,FBXO42,MED26,ANKMY2,FAM106CP,SLC35E1,BZW2,USP32P1,SZRD1,CCDC144A,FBXO42,MED26,ANKMY2,FAM106CP,SLC35E1,BZW2
chr6:	26537510	26537420	26538235	chr6:26537420-26538235	734	306.43	CATSPER4,GPR113,LOC441204,HMGN4,HCG11,CATSPER4,GPR113,LOC441204,HMGN4,HCG11
chr6:	44021846	44020208	44021434	chr6:44020208-44021846	660	326.65	DYNC2LI1,ETHE1,CATSPER2P1,DYNC2LI1,ETHE1,CATSPER2P1
chr6:	44021846	44021906	44021434	chr6:44021434-44021906	671	312.73	DYNC2LI1,ETHE1,CATSPER2P1,DYNC2LI1,ETHE1,CATSPER2P1
chr6:	44021846	44022717	44021434	chr6:44021434-44022717	637	355.44	DYNC2LI1,ETHE1,CATSPER2P1,DYNC2LI1,ETHE1,CATSPER2P1
chr6:	52379278	52379186	52379260	chr6:52379186-52379278	284	34.57	DHRS12,XAGE2,XAGE2B,LINC00282,SGMS1,ZNF577,RAB3B,DHRS12,XAGE2,XAGE2B,LINC00282,SGMS1,ZNF577,RAB3B
chr7:	36087699	36087699	36088500	chr7:36087699-36088500	212	35.34	CLIC6,MAPK14,MAPK13,LINC00160,PSMB2,CLIC6,MAPK14,MAPK13,LINC00160,PSMB2
chr7:	44678593	44677602	44679354	chr7:44677602-44679354	494	361.98	SLC12A5,GUF1,HDHD2,NSF,ZNF226,NSFP1,DMAP1,ERI3,IER3IP1,ZNF197,SLC12A5,GUF1,HDHD2,NSF,ZNF226,NSFP1,DMAP1,ERI3,IER3IP1,ZNF197
chr7:	44678593	44678760	44679354	chr7:44678593-44679354	660	304.17	SLC12A5,GUF1,HDHD2,ZNF226,DMAP1,ERI3,IER3IP1,ZNF197,SLC12A5,GUF1,HDHD2,ZNF226,DMAP1,ERI3,IER3IP1,ZNF197
chr7:	100761655	100760712	100760764	chr7:100760712-100761655	193	38.4	RTCA,SLC17A8,ARMCX4,AFF3,SLC25A29,SERPINE1,RTCA,SLC17A8,ARMCX4,AFF3,SLC25A29,SERPINE1
chr7:	100761655	100761664	100760764	chr7:100760764-100761664	187	42.29	RTCA,SLC17A8,ARMCX4,AFF3,SLC25A29,SERPINE1,RTCA,SLC17A8,ARMCX4,AFF3,SLC25A29,SERPINE1
chr7:	144532650	144533082	144532798	chr7:144532650-144533082	388	131.36	TPK1,ARHGAP15,TPK1,ARHGAP15
chr8:	23398140	23396475	23396380	chr8:23396380-23398140	542	344.12	HERC2P7,RTDR1,ZNF724P,PRMT5,COG7,SCNN1B,NAPB,RBM23,HERC2P7,RTDR1,ZNF724P,PRMT5,COG7,SCNN1B,NAPB,RBM23
chr8:	23398140	23398463	23396380	chr8:23396380-23398463	625	278.34	HERC2P7,RTDR1,ZNF724P,PRMT5,COG7,SCNN1B,NAPB,RBM23,HERC2P7,RTDR1,ZNF724P,PRMT5,COG7,SCNN1B,NAPB,RBM23
chr8:	101494332	101494455	101494395	chr8:101494332-101494455	213	49.81	MIR543,NXF2B,CUTC,MIR379,CEP97,MIR380,NXF2,COX15,MIR323A,NXPE3,MIR758,DPH5,MIR329-1,MIR1193,MIR411,ANKS6,MIR1197,MIR495,MIR299,MIR329-2,MIR494,MIR543,NXF2B,CUTC,MIR379,CEP97,MIR380,NXF2,COX15,MIR323A,NXPE3,MIR758,DPH5,MIR329-1,MIR1193,MIR411,ANKS6,MIR1197,MIR495,MIR299,MIR329-2,MIR494
chr8:	125641800	125641891	125643189	chr8:125641800-125643189	248	56.02	CPXM2,PATE2,ALG1L,ANKRD50,SNORD90,FAM86JP,CPXM2,PATE2,ALG1L,ANKRD50,SNORD90,FAM86JP
chr8:	128755191	128753807	128753858	chr8:128753807-128755191	325	187.87	HSPA4L,TMEM132C,KCNJ5,MYC,EFCC1,HSPA4L,TMEM132C,KCNJ5,MYC,EFCC1
chr9:	132250660	132250873	132251059	chr9:132250660-132251059	407	140.59	DNAJC13,LOC150776,MIR4784,LINC00963,MZT2A,DNAJC13,LOC150776,MIR4784,LINC00963,MZT2A
chr9:	16704709	16704909	16705210	chr9:16704709-16705210	408	134.27	LMO3,USP32P1,SNRPB2,LMO3,USP32P1,SNRPB2
chr9:	33165518	33165259	33165521	chr9:33165259-33165521	280	60.08	BBS9,CRTAP,COL11A2,HSD17B8,LTBP1,LOC100271832,SLC39A7,CSTF3,MIR3975,PDS5B,RXRB,LINC00486,SYNC,ANKRD27,RGS9BP,B4GALT1,C10orf68,BBS9,CRTAP,COL11A2,HSD17B8,LTBP1,LOC100271832,SLC39A7,CSTF3,MIR3975,PDS5B,RXRB,LINC00486,SYNC,ANKRD27,RGS9BP,B4GALT1,C10orf68
chr9:	33166658	33165259	33165521	chr9:33165259-33166658	399	124.9	BBS9,CRTAP,COL11A2,HSD17B8,LTBP1,LOC100271832,SLC39A7,CSTF3,RING1,MIR3975,PDS5B,RXRB,LINC00486,MIR219-1,SYNC,ANKRD27,RGS9BP,B4GALT1,C10orf68,BBS9,CRTAP,COL11A2,HSD17B8,LTBP1,LOC100271832,SLC39A7,CSTF3,RING1,MIR3975,PDS5B,RXRB,LINC00486,MIR219-1,SYNC,ANKRD27,RGS9BP,B4GALT1,C10orf68
chr9:	123492926	123492819	123492959	chr9:123492819-123492959	213	57.92	MIR4304,HYAL4,GRAMD1B,SCN3B,ATE1,MIR4304,HYAL4,GRAMD1B,SCN3B,ATE1
chr9:	139776055	139776996	139776953	chr9:139776055-139776996	495	378.17	ANKHD1-EIF4EBP3,TRAF2,ANKHD1,JHDM1D,MIR4479,ANKHD1-EIF4EBP3,TRAF2,ANKHD1,JHDM1D,MIR4479
chrX:	13685880	13687200	13687459	chrX:13685880-13687459	268	68.69	LINC00620,DNAH5,PRAMEF18,FRMD4A,PRAMEF19,ESF1,TCEANC,FBLN2,FAR1,LINC00620,DNAH5,PRAMEF18,FRMD4A,PRAMEF19,ESF1,TCEANC,FBLN2,FAR1
chrX:	40869029	40869100	40869259	chrX:40869029-40869259	314	91.16	SMAP2,RPUSD2,APBB2,SMAP2,RPUSD2,APBB2
chr10:	81923145	81923417	81923472	chr10:81923145-81923472	508	271.27	ANXA11,ANXA11
chr10:	81963864	81963190	81962883	chr10:81962883-81963864	647	537.24	SEL1L,LINC00857,ANXA11,SEL1L,LINC00857,ANXA11
chr10:	92689863	92690082	92690795	chr10:92689863-92690795	278	135.54	C1orf146,ANKRD1,C1orf146,ANKRD1
chr11:	10510555	10509726	10511591	chr11:10509726-10511591	316	63.89	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1,HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10510555	10510662	10511591	chr11:10510555-10511591	367	14.97	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1,HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10510555	10512007	10511591	chr11:10510555-10512007	335	37.71	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1,HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10512166	10510662	10511591	chr11:10510662-10512166	414	51.49	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1,HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	10512166	10512007	10511591	chr11:10511591-10512166	381	83.05	HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1,HPCAL1,APITD1-CORT,GCNT2,CORT,CDC37,APITD1,DFFA,MIR1181,RP1L1
chr11:	33182839	33182953	33182657	chr11:33182657-33182953	373	76.18	ITGB1,CRTAP,HSD17B8,CSTF3-AS1,SUSD5,RING1,CSTF3,MIR219-1,NUDT19,ITGB1,CRTAP,HSD17B8,CSTF3-AS1,SUSD5,RING1,CSTF3,MIR219-1,NUDT19
chr11:	47879463	47877723	47879447	chr11:47877723-47879463	262	92.6	DHX34,DIP2A-IT1,NUP160,DIP2A,FOXE3,SPACA5B,SPACA5,DHX34,DIP2A-IT1,NUP160,DIP2A,FOXE3,SPACA5B,SPACA5
chr11:	47879463	47879213	47879447	chr11:47879213-47879463	387	169.44	NUP160,DIP2A,DHX34,DIP2A-IT1,FOXE3,NUP160,DIP2A,DHX34,DIP2A-IT1,FOXE3
chr11:	47959382	47959430	47959620	chr11:47959382-47959620	293	62.48	SSX6,DIP2A,FAM21B,SSX6,DIP2A,FAM21B
chr11:	64035924	64037379	64037295	chr11:64035924-64037379	667	548.01	LOC100128885,LGSN,PLCB3,RTKN2,EFCAB7,LOC641746,BAD,LOC100128885,LGSN,PLCB3,RTKN2,EFCAB7,LOC641746,BAD
chr11:	65381411	65382590	65382341	chr11:65381411-65382590	326	103.3	MAP3K11,UBAP1L,ERBB2IP,PCNXL3,PITPNC1,REEP3,CHURC1,KBTBD13,HEPH,CHURC1-FNTB,MAP3K11,UBAP1L,ERBB2IP,PCNXL3,PITPNC1,REEP3,CHURC1,KBTBD13,HEPH,CHURC1-FNTB
chr11:	65382454	65382590	65382341	chr11:65382341-65382590	277	123.47	MAP3K11,UBAP1L,ERBB2IP,PCNXL3,PITPNC1,REEP3,CHURC1,HEPH,CHURC1-FNTB,MAP3K11,UBAP1L,ERBB2IP,PCNXL3,PITPNC1,REEP3,CHURC1,HEPH,CHURC1-FNTB
chr12:	13024970	13023303	13024933	chr12:13023303-13024970	287	90.03	FARSA,SYCE2,RPL13AP20,RASSF10,FARSA,SYCE2,RPL13AP20,RASSF10
chr12:	13024970	13024982	13024933	chr12:13024933-13024982	298	87.3	FARSA,SYCE2,RPL13AP20,RASSF10,FARSA,SYCE2,RPL13AP20,RASSF10
chr12:	56321040	56321646	56320853	chr12:56320853-56321646	462	325.18	DGKA,WIBG,LPO,KLF8,DST,DGKA,WIBG,LPO,KLF8,DST
chr12:	69080271	69079894	69080450	chr12:69079894-69080450	405	150.04	PGM5P2,LOC100507250,EDA,NUP107,FTLP10,ANP32A,TMPRSS11BNL,PGM5P2,LOC100507250,EDA,NUP107,FTLP10,ANP32A,TMPRSS11BNL
chr12:	76371506	76371565	76371705	chr12:76371506-76371705	263	46.48	LRRC32,SNORA47,MSH4,ZBED3,PGS1,LRRC32,SNORA47,MSH4,ZBED3,PGS1
chr13:	110132302	110132253	110133418	chr13:110132253-110133418	335	155.06	TRHR,MIR197,GNAI3,TRHR,MIR197,GNAI3
chr13:	114102805	114103441	114103326	chr13:114102805-114103441	282	96.52	ZBTB20-AS1,ZBTB20,DCUN1D2,ADPRHL1,ZBTB20-AS1,ZBTB20,DCUN1D2,ADPRHL1
chr14:	61943217	61943168	61943377	chr14:61943168-61943377	383	100.56	CSH2,TCAM1P,CSH2,TCAM1P
chr14:	61943217	61944828	61943377	chr14:61943217-61944828	297	35.83	CSH2,TCAM1P,CSH2,TCAM1P
chr14:	75354884	75354810	75354867	chr14:75354810-75354884	219	37.37	DLST,DLST
chr15:	22525988	22526478	22526737	chr15:22525988-22526737	479	155.28	NPIPB5,GPR125,BIN3,NPIPB5,GPR125,BIN3
chr15:	40384655	40384626	40384579	chr15:40384579-40384655	445	304.79	BMF,FAM83F,ZMAT4,BMF,FAM83F,ZMAT4
chr15:	41408540	41408681	41408328	chr15:41408328-41408681	309	57.71	CYP2G1P,GINS4,INO80,CYP2G1P,GINS4,INO80
chr15:	48622928	48622341	48623153	chr15:48622341-48623153	422	138.71	SPATA20,COL7A1,GLOD5,DUT,MIR711,EPN3,PLA2G4C,NUDT15,LIG1,SPATA20,COL7A1,GLOD5,DUT,MIR711,EPN3,PLA2G4C,NUDT15,LIG1
chr16:	679222	677668	679492	chr16:677668-679492	306	183.03	RAB40C,PRSS57,NINJ2,MIR5699,ENOSF1,ERICH1,MYL5,TMEM18,GLOD4,ERICH1-AS1,B4GALNT3,MFSD7,C16orf13,WFIKKN1,TYMS,OR12D3,OR12D2,FSTL3,RNMTL1,ATP5I,RAB40C,PRSS57,NINJ2,MIR5699,ENOSF1,ERICH1,MYL5,TMEM18,GLOD4,ERICH1-AS1,B4GALNT3,MFSD7,C16orf13,WFIKKN1,TYMS,OR12D3,OR12D2,FSTL3,RNMTL1,ATP5I
chr16:	86421134	86421060	86420987	chr16:86420987-86421134	202	59.11	MIR4779,MRPL35,IMMT,MIR4779,MRPL35,IMMT
chr17:	2863341	2863425	2863555	chr17:2863341-2863555	245	79.71	MICB,PTPRA,MGC39372,MIR4645,LST1,AIF1,ZNF556,PRSS41,ATP6V1G2-DDX39B,KCNQ1,NFKBIL1,LOC283440,ZNF555,PRSS21,NCR3,LINC00278,LTB,ATP6V1G2,TNF,LTA,MICB,PTPRA,MGC39372,MIR4645,LST1,AIF1,ZNF556,PRSS41,ATP6V1G2-DDX39B,KCNQ1,NFKBIL1,LOC283440,ZNF555,PRSS21,NCR3,LINC00278,LTB,ATP6V1G2,TNF,LTA
chr17:	6374575	6374914	6373924	chr17:6373924-6374914	324	172.41	MIR4317,PSPN,LOC399715,GTF2F1,CLPP,MED10,ALKBH7,PPP2R2C,FAM220A,MIR4317,PSPN,LOC399715,GTF2F1,CLPP,MED10,ALKBH7,PPP2R2C,FAM220A
chr17:	26662118	26662429	26662090	chr17:26662090-26662429	402	132.65	TNFAIP1,LRRC3B,IFT20,ZNF322,TMEM97,TNFAIP1,LRRC3B,IFT20,ZNF322,TMEM97
chr17:	26662118	26663195	26662090	chr17:26662090-26663195	422	106.75	TNFAIP1,LRRC3B,IFT20,ZNF322,TMEM97,TNFAIP1,LRRC3B,IFT20,ZNF322,TMEM97
chr17:	40715370	40714013	40713903	chr17:40713903-40715370	258	94.41	TTC9B,TMCO2,HSD17B1,IVD,ZMPSTE24,MLX,TTC33,RLF,MAP3K10,FAM74A3,COASY,HMGN1,SPATA31A3,PSMC3IP,TTC9B,TMCO2,HSD17B1,IVD,ZMPSTE24,MLX,TTC33,RLF,MAP3K10,FAM74A3,COASY,HMGN1,SPATA31A3,PSMC3IP
chr17:	41560879	41560823	41560991	chr17:41560823-41560991	360	50.46	ELF1,DHX8,MIR4641,FOXP4,GPR34,ELF1,DHX8,MIR4641,FOXP4,GPR34
chr17:	42311996	42313002	42312954	chr17:42311996-42313002	198	81.58	SHISA8,HIVEP3,SREBF2,CCK,CEACAM3,TNFRSF13C,SHISA8,HIVEP3,SREBF2,CCK,CEACAM3,TNFRSF13C
chr17:	66379463	66379508	66379494	chr17:66379463-66379508	219	68.47	TMEM248,CCS,RBM14-RBM4,RBM14,TMX3,CCDC102B,TMEM248,CCS,RBM14-RBM4,RBM14,TMX3,CCDC102B
chr17:	71284687	71284801	71284730	chr17:71284687-71284801	379	29.81	KRTAP5-11,C6orf57,KRTAP5-10,MAP3K9,PROL1,CDC42EP4,FOXP1,KRTAP5-11,C6orf57,KRTAP5-10,MAP3K9,PROL1,CDC42EP4,FOXP1
chr18:	9825456	9825401	9827398	chr18:9825401-9827398	256	8.52	PAK7,SBF2-AS1,SLC2A9,CLEC2D,MIR3648,ARPC4,MIR3687,ARPC4-TTLL3,TADA3,PAK7,SBF2-AS1,SLC2A9,CLEC2D,MIR3648,ARPC4,MIR3687,ARPC4-TTLL3,TADA3
chr18:	9827818	9827500	9827398	chr18:9827398-9827818	573	291.54	PAK7,SBF2-AS1,SLC2A9,CLEC2D,MIR3648,ARPC4,MIR3687,ARPC4-TTLL3,TADA3,PAK7,SBF2-AS1,SLC2A9,CLEC2D,MIR3648,ARPC4,MIR3687,ARPC4-TTLL3,TADA3
chr19:	11641085	11642792	11639489	chr19:11639489-11642792	325	110.88	NEIL2,GALNT18,CNN1,LITAF,ECSIT,NEIL2,GALNT18,CNN1,LITAF,ECSIT
chr19:	35167871	35167886	35167721	chr19:35167721-35167886	445	64.04	UNC13B,CD44,MYL9,ZNF302,UNC13B,CD44,MYL9,ZNF302
chr20:	30160221	30160373	30160163	chr20:30160163-30160373	482	90.62	UQCR10,HM13,PLEKHF1,TRIM26,HM13-AS1,PLEKHA8,SLC7A1,ZMAT5,UQCR10,HM13,PLEKHF1,TRIM26,HM13-AS1,PLEKHA8,SLC7A1,ZMAT5
chr20:	33113558	33113590	33113825	chr20:33113558-33113825	334	85.33	CSTF3,DYNLRB1,SCAF4,RBBP4,ZBTB8OS,B4GALT1,N4BP2L2,LINC00486,CSTF3,DYNLRB1,SCAF4,RBBP4,ZBTB8OS,B4GALT1,N4BP2L2,LINC00486
chr20:	52739766	52739951	52740171	chr20:52739766-52740171	283	71.51	PCMTD1,SSX2B,SSX2,SPCS1,NEK4,PTGDR,NEK3,MRPS31P5,GLT8D1,PCMTD1,SSX2B,SSX2,SPCS1,NEK4,PTGDR,NEK3,MRPS31P5,GLT8D1
chr21:	46738615	46738797	46738702	chr21:46738615-46738797	478	425.74	BMS1P5,RAD54L,COX7B2,ORC6,TRMU,F2,LRRC41,TMIE,RP2,IGFL1,BMS1P1,ATP6V1E2,MYLK3,ALS2CL,KGFLP1,CXorf31,BMS1P5,RAD54L,COX7B2,ORC6,TRMU,F2,LRRC41,TMIE,RP2,IGFL1,BMS1P1,ATP6V1E2,MYLK3,ALS2CL,KGFLP1,CXorf31
chr22:	40393905	40395364	40394850	chr22:40393905-40395364	351	149.57	BMF,FAM83F,ZMAT4,BMF,FAM83F,ZMAT4
